 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-11180232.91,4557253.46,285,148
-11195881.31,4566509.817,285,153
-11204017.54,4566592.356,285,143
-11180753.1,4562103.646,286,176
-11186898.5,4535527.511,286,74
-11167306.04,4555171.898,286,183
-11192029.32,4550584.009,286,180
-11198416.17,4567050.914,287,155
-11168574.08,4555173.73,287,151
-11177453.04,4563110.09,287,192
-11196012.22,4542671.694,288,146
-11191856.33,4522362.379,288,141
-11200878.66,4554574.202,288,50
-11189708.2,4533486.149,289,84
-11170688.6,4529188.822,289,200
-11203758.95,4570171.906,290,154
-11204762.27,4569413.869,290,181
-11200328.19,4567959.484,290,160
-11185815.91,4562128.89,290,142
-11199310.84,4566932.675,290,175
-11198681.11,4565025.791,290,170
-11180791.95,4536839.212,290,85
-11184867.58,4537601.773,290,72
-11185888.72,4506124.326,290,127
-11185807.56,4562899.654,290,148
-11199594.04,4526035.678,290,180
-11190204.13,4538377.055,290,130
-11192832.27,4566483.292,290,167
-11184610.66,4535018.153,290,149.5
-11192980.32,4532475.814,290,165
-11203134.67,4536267.749,291,176
-11172746.56,4520217.537,291,61
-11180744.64,4557768.841,292,140
-11183501.25,4567201.043,292,138
-11189958.11,4534517.962,292,
-11188371.36,4550404.113,292,129
-11186517.89,4532965.64,292,151
-11199959.83,4521326.147,292,100
-11185023.21,4566192.651,293,165
-11197512.47,4546276.391,293,95
-11202794.36,4551402.663,294,63
-11196216.49,4549079.013,294,64
-11184771.4,4566190.816,295,182
-11199483.27,4555866.457,295,71
-11191961.08,4537598.256,295,134.5
-11187785.04,4534629.645,295,136
-11178460.59,4564372.091,295,175
-11186054.36,4563412.494,295,
-11164897.09,4529983.725,295,178
-11181686.63,4549023.939,295,79
-11170128.88,4552782.026,296,104
-11187355.91,4550406.367,296,146
-11180922.98,4540559.971,296,150
-11201620.72,4536285.897,297,145
-11175928.4,4508653.672,297,115
-11204389.79,4536497.765,297,172
-11194244.25,4529146.084,297,141
-11185038.12,4564670.864,298,165
-11195379.37,4564473.797,298,120
-11185756.25,4537735.72,298,86
-11196764.96,4545243.836,298,148
-11201111.54,4526032.445,299,217
-11198850.98,4553242.652,299,140
-11179749.22,4561085.876,300,151
-11184870.48,4539658.013,300,94
-11185374.2,4536689.942,300,110
-11184738.01,4536689.098,300,113
-11191835.4,4536946.417,300,108
-11192469.15,4532996.158,300,123
-11202372.46,4532172.339,300,183
-11196918.7,4514175.627,300,140
-11197940.39,4510089.703,300,140
-11197936.6,4511111.07,300,140
-11185883.26,4535273.04,300,121
-11192980.44,4531445.89,300,179.5
-11200778.03,4548804.492,300,134
-11179035.33,4535310.457,300,144
-11204346.82,4548309.132,300,159
-11196281.73,4518008.955,300,165
-11201511.4,4556136.091,301,32
-11201003.45,4553407.096,302,117
-11203267.91,4567606.008,303,110
-11184870.37,4505867.484,303,97
-11166906.41,4531255.076,303,210
-11193236.02,4535029.125,303,210
-11180542.49,4534029.47,305,84
-11197828.62,4535260.942,305,
-11194855.72,4567773.643,305,195
-11201545.8,4547529.168,308,140
-11160301.37,4530227.241,309,166
-11192593.6,4537467.266,310,128
-11200512.09,4550372.84,310,130
-11189697.07,4535529.058,310,155
-11202380.59,4536281.114,310,175
-11188181.45,4522746.918,310,179
-11173039.33,4531148.772,310,214
-11183024.02,4563388.797,311,174
-11201531.55,4549585.678,311,158
-11183240.54,4569485.422,312,156
-11194206.73,4547303.556,315,148
-11199960.61,4520305.047,315,115
-11180540.7,4535560.991,316,126
-11194518.09,4518400.637,316,84
-11182503.71,4565407.535,317,180
-11184033.47,4564154.012,318,142
-11168091.74,4553988.237,318,144
-11185626.34,4532716.013,319,78
-11186422.49,4564552.369,320,135
-11189973.92,4530420.005,320,80
-11166204.31,4506661.458,320,110
-11190837.31,4507021.431,320,152
-11201039.3,4547785.206,320,132
-11198983.45,4551931.844,320,172
-11203385.69,4536262.544,321,176
-11191855.11,4512132.255,324,95
-11194995.87,4543194.799,324,133
-11190199.23,4513526.511,325,85
-11196283.51,4512264.192,325,193
-11198843.74,4535263.615,325,194
-11174417.47,4556213.895,326,155
-11174163.88,4556213.191,330,158
-11185053.71,4562635.768,330,131
-11190227.06,4530168.751,330,
-11203134.44,4518645.288,330,159
-11194265.51,4516595.427,330,100
-11189719.66,4531428.032,330,161
-11174417.47,4556213.895,330,150
-11198023.88,4544336.686,330,191
-11193861.86,4528508.269,330,126
-11168038.86,4506982.992,332,165
-11156608.57,4506702.42,333,113
