00907|-66.094719,18.462187,-66.063103,18.440658
00909|-66.076162,18.45106,-66.059042,18.432832
00911|-66.065938,18.455464,-66.043636,18.447177
00912|-66.067612,18.449894,-66.052803,18.439026
00913|-66.049582,18.454582,-66.036669,18.446367
00915|-66.060597,18.447424,-66.029735,18.427795
00917|-66.059056,18.433688,-66.039141,18.40745
00918|-66.081754,18.436963,-66.052656,18.406149
00920|-66.108491,18.43913,-66.074799,18.389608
00921|-66.105872,18.407312,-66.069757,18.373632
00923|-66.052502,18.427099,-66.028251,18.394622
00924|-66.031454,18.417293,-65.991415,18.378818
00925|-66.05658,18.40818,-66.043031,18.395067
00926|-66.102543,18.396659,-66.003772,18.301923
00927|-66.090329,18.410019,-66.053228,18.367287
00928|-66.027331,18.385084,-66.022887,18.379378
00934|-66.134268,18.41942,-66.112972,18.40486
00936|-66.076463,18.399433,-66.07119,18.391036
00949|-66.260198,18.475255,-66.132461,18.389289
00950|-66.255686,18.481089,-66.195649,18.449718
00951|-66.264379,18.434035,-66.25102,18.421459
00952|-66.195241,18.438401,-66.169322,18.417495
00953|-66.319241,18.404782,-66.197243,18.322296
00954|-66.289446,18.38241,-66.254304,18.353807
00956|-66.213537,18.387218,-66.132302,18.25884
00957|-66.206571,18.393482,-66.169456,18.339888
00959|-66.198224,18.407855,-66.116999,18.333279
00960|-66.155379,18.424656,-66.129465,18.406756
00961|-66.198286,18.4315,-66.132529,18.395286
00962|-66.158201,18.462797,-66.109592,18.42138
00965|-66.125336,18.442406,-66.107547,18.424298
00966|-66.142984,18.425104,-66.097708,18.378323
00968|-66.107695,18.412005,-66.094969,18.400432
00969|-66.131497,18.384767,-66.081098,18.347767
00971|-66.144119,18.389356,-66.08669,18.2777
00976|-66.035893,18.386288,-65.938861,18.293326
00979|-66.041296,18.450467,-65.989559,18.424048
00982|-66.007992,18.422092,-65.977479,18.391984
00983|-65.989559,18.442387,-65.965896,18.391934
00985|-65.974123,18.437476,-65.91901,18.375718
00987|-66.002044,18.398532,-65.901782,18.270105
01001|-72.667902,42.100467,-72.582535,42.030795
01002|-72.546776,42.437947,-72.355041,42.301437
01003|-72.533396,42.400301,-72.51539,42.38091
01005|-72.205174,42.484473,-72.007388,42.356423
01007|-72.472287,42.358762,-72.331642,42.185812
01008|-73.034916,42.25134,-72.87218,42.113028
01009|-72.347615,42.220719,-72.331569,42.196846
01010|-72.274376,42.183885,-72.134928,42.090665
01011|-73.02078,42.393109,-72.894566,42.239133
01012|-72.875138,42.43791,-72.817978,42.338659
01013|-72.62861,42.198278,-72.583162,42.111717
